Name,ProteinMPNN Score,Sequence Recovery,pLDDT,pTM Score,ESM-IF-1 Sequence Log-likelihoods
62d7495fa7e2712a57836b6c_rank1,0.6987,0.5516,0.9445688053097341,0.92,0.9265
62d7495fa7e2712a57836b6c_rank2,0.6935,0.5695,0.9516429203539821,0.93,0.8873000000000001
62d7495fa7e2712a57836b6c_rank3,0.6929000000000001,0.5561,0.9104504424778751,0.9,0.9687
62d7495fa7e2712a57836b6c_rank4,0.6918000000000001,0.5740000000000001,0.9499369469026541,0.92,0.9654
62d7495fa7e2712a57836b6c_rank5,0.6867000000000001,0.5740000000000001,0.948930530973451,0.92,1.0233
62d7495fa7e2712a57836b6c_rank6,0.6857000000000001,0.5471,0.9496099557522121,0.92,0.9375
62d7495fa7e2712a57836b6c_rank7,0.6815,0.5740000000000001,0.9465966814159291,0.92,0.8715
62d7495fa7e2712a57836b6c_rank8,0.6801,0.5785,0.9477267699115041,0.92,0.9787
62d7495fa7e2712a57836b6c_rank9,0.6795,0.5650000000000001,0.956084292035397,0.92,0.9236000000000001
62d7495fa7e2712a57836b6c_rank10,0.6794,0.5426,0.9523438053097341,0.92,0.8475
62d7495fa7e2712a57836b6c_rank11,0.6784,0.5874,0.95226128318584,0.92,0.962
62d7495fa7e2712a57836b6c_rank12,0.6773,0.5964,0.9536714601769911,0.93,0.9559000000000001
62d7495fa7e2712a57836b6c_rank13,0.6764,0.5740000000000001,0.9313637168141591,0.91,1.0006
62d7495fa7e2712a57836b6c_rank14,0.6764,0.5785,0.9603,0.93,0.8898
62d7495fa7e2712a57836b6c_rank15,0.6755,0.5650000000000001,0.9425066371681411,0.92,0.936
62d7495fa7e2712a57836b6c_rank16,0.6747000000000001,0.583,0.962144026548672,0.9400000000000001,0.8984000000000001
62d7495fa7e2712a57836b6c_rank17,0.6719,0.5650000000000001,0.946969690265486,0.91,0.8955000000000001
62d7495fa7e2712a57836b6c_rank18,0.6717000000000001,0.5740000000000001,0.938611061946902,0.92,0.9752000000000001
62d7495fa7e2712a57836b6c_rank19,0.6706000000000001,0.5650000000000001,0.9464743362831851,0.91,0.9385
62d7495fa7e2712a57836b6c_rank20,0.6699,0.5471,0.939242477876106,0.91,0.9479000000000001
62d7495fa7e2712a57836b6c_rank21,0.668,0.6009,0.9481643805309711,0.91,0.9011
62d7495fa7e2712a57836b6c_rank22,0.6676000000000001,0.5605,0.950135176991151,0.92,0.8855000000000001
62d7495fa7e2712a57836b6c_rank23,0.6668000000000001,0.5740000000000001,0.9432225663716811,0.91,0.9089
62d7495fa7e2712a57836b6c_rank24,0.6668000000000001,0.5336000000000001,0.9382590707964601,0.92,0.9874
62d7495fa7e2712a57836b6c_rank25,0.6664,0.5695,0.958227654867257,0.93,0.9079
62d7495fa7e2712a57836b6c_rank26,0.666,0.5785,0.942564823008849,0.9,0.9135000000000001
62d7495fa7e2712a57836b6c_rank27,0.6657000000000001,0.6099,0.9527953539823001,0.91,0.8344
62d7495fa7e2712a57836b6c_rank28,0.6651,0.5561,0.9365971238938041,0.9,0.9169
62d7495fa7e2712a57836b6c_rank29,0.6644,0.5785,0.959745132743362,0.93,0.8932
62d7495fa7e2712a57836b6c_rank30,0.6641,0.5964,0.934974778761061,0.91,0.9208000000000001
62d7495fa7e2712a57836b6c_rank31,0.6636000000000001,0.5740000000000001,0.93976703539823,0.92,0.9832000000000001
